title,rate,num,info,director,actor,time,country,type
九品芝麻官,8.7,588475人,电影详细信息不详,王晶JingWong,周星驰StephenChow,1994,中国香港,剧情
纵横四海,8.8,380011人,香港浪漫主义警匪动作片的巅峰之作。,吴宇森JohnWoo,周润发Yun-FatChow,1991,中国香港,剧情
海街日记,8.8,398963人,是枝裕和的家庭习作。,是枝裕和HirokazuKoreeda,绫濑遥HarukaAyase,2015,日本,剧情
岁月神偷,8.7,538784人,岁月流逝，来日可追。,罗启锐AlexLaw,吴君如SandraNg,2010,中国香港,剧情
记忆碎片,8.7,555084人,一个针管引发的血案。,克里斯托弗·诺兰ChristopherNolan,盖·皮尔斯GuyPearce,2000,美国,犯罪
忠犬八公物语,9.2,175294人,养狗三日，便会对你终其一生。,SeijirôKôyama,山本圭KeiYamamoto,1987,日本,剧情
荒蛮故事,8.8,401258人,始于荒诞，止于更荒诞。,达米安·斯兹弗隆DamiánSzifron,达里奥·葛兰帝内提Darío,2014,阿根廷,剧情
爱在午夜降临前,8.8,347401人,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2013,美国,剧情
绿里奇迹,8.9,289462人,天使暂时离开。,FrankDarabont,汤姆·汉克斯TomHanks,1999,美国,犯罪
爆裂鼓手,8.7,523900人,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,达米恩·查泽雷DamienChazelle,迈尔斯·特勒MilesTelle,2014,美国,剧情
